user_type,degree,year,month,day,post_size,change_size,class_suspect
1,8,11,10,0,163652,-1,False
0,1,0,0,0,0,1,True
1,3,5,3,0,1789,-90,False
1,1,5,7,0,74,90,True
1,3,9,2,0,7804,5,False
1,1,5,11,0,26660,0,False
1,3,5,3,0,1789,2,False
0,1,0,0,0,0,-2,True
1,3,5,3,0,1789,16,False
0,1,0,0,0,0,-16,True
1,1,5,2,0,21,-4,False
1,1,5,2,0,16,26,False
1,1,5,2,0,16,8,False
1,3,5,8,0,1265,-1,False
1,1,5,2,0,16,5,False
1,3,8,2,0,23511,-1,False
1,0,5,4,0,864,1,False
1,3,6,3,0,18437,-2,False
0,1,0,0,0,0,2,False
1,8,13,1,0,122564,2,False
0,1,0,0,0,0,-2,True
1,6,11,4,0,32654,39,False
1,1,6,2,0,32,-39,False
1,8,13,1,0,122564,51,False
0,1,0,0,0,0,-50,True
0,1,0,0,0,0,-1,False
1,8,13,1,0,122564,-75,False
0,1,0,0,0,0,75,False
1,3,11,9,0,611,-20,False
0,1,0,0,0,0,20,True
1,3,9,3,0,37025,3,False
1,3,9,3,0,37025,69,False
1,3,9,3,0,37025,126,False
1,8,11,10,0,163652,-8,False
0,1,0,0,0,0,8,True
1,2,10,2,0,578034,-228,False
0,1,0,0,0,0,3,False
1,3,8,1,0,32464,-41,False
1,1,5,6,0,2,41,False
1,8,9,4,0,17505,-28,False
1,1,6,3,0,19,0,False
1,1,6,3,0,19,0,False
1,8,13,1,0,122564,-287,False
0,1,0,0,0,0,287,True
0,1,0,0,0,0,3,False
0,1,0,0,0,0,-3,True
1,8,9,4,0,17505,1,False
0,1,0,0,0,0,-1,False
0,1,0,0,0,0,7,False
0,1,0,0,0,0,-7,True
1,3,8,1,0,22088,-11,False
0,1,0,0,0,0,11,True
1,3,10,10,0,6473,10,False
0,1,0,0,0,0,-10,True
1,3,8,1,0,22088,6,False
1,3,8,1,0,22088,-10,False
1,3,8,1,0,22088,21,False
1,3,8,1,0,22088,7,False
1,3,8,1,0,22088,2,False
1,3,8,1,0,22088,1,False
1,3,8,1,0,22088,185,False
0,1,0,0,0,0,-1,False
1,3,6,2,0,107,-56,False
1,3,6,2,0,176,60,False
1,8,13,1,0,122564,-896,False
1,1,6,0,0,1,896,False
1,8,13,1,0,122564,0,False
1,1,6,0,0,1,0,False
1,8,11,10,0,163652,18,False
0,1,0,0,0,0,-16,False
0,1,0,0,0,0,-2,False
1,8,11,10,0,163652,-2,False
0,1,0,0,0,0,2,True
1,3,8,3,0,1795,54,False
1,3,8,3,0,1795,305,False
1,1,6,2,0,3,-305,False
1,2,7,9,0,461643,17,False
1,2,7,9,0,461643,-99,False
1,3,10,0,0,2421,-5,False
0,1,0,0,0,0,5,False
0,1,0,0,0,0,-10,False
0,1,0,0,0,0,0,False
1,3,7,7,0,16510,-27,False
0,1,0,0,0,0,27,True
1,3,11,8,0,56704,-3,False
1,3,8,5,0,6360,-3,False
0,1,0,0,0,0,3,False
1,3,10,0,0,2421,0,False
1,3,10,0,0,2421,-28,False
1,3,10,0,0,2421,99,False
1,3,10,0,0,2421,5,False
1,3,10,0,0,2421,6,False
1,3,10,0,0,2421,4,False
1,3,11,7,0,1094,125,False
1,3,11,7,0,1094,390,False
1,3,8,5,0,6360,-460,False
0,1,0,0,0,0,460,True
0,1,0,0,0,0,-18,False
0,1,0,0,0,0,18,True
1,8,11,10,0,163652,38,False
0,1,0,0,0,0,-38,True
1,3,9,3,0,37025,10,False
1,4,11,11,0,64892,2383,False
0,1,0,0,0,0,-7,False
0,1,0,0,0,0,-2346,False
0,1,0,0,0,0,-30,False
1,6,11,4,0,32654,-74,False
0,1,0,0,0,0,74,False
1,3,11,7,0,1094,357,False
1,0,7,0,0,2767,8,False
1,3,11,7,0,1094,-30,False
0,1,0,0,0,0,1,False
0,1,0,0,0,0,7,False
1,8,11,10,0,163652,8,False
0,1,0,0,0,0,-1,True
0,1,0,0,0,0,-7,False
1,3,11,7,0,1094,40,False
0,1,0,0,0,0,-1,False
1,1,12,10,0,450,11,False
1,1,12,10,0,450,-1,False
1,0,11,0,0,72971,0,False
1,6,11,0,0,433549,18,False
0,1,0,0,0,0,-18,True
1,10,0,0,0,70128,3,False
1,3,13,8,0,33126,2048,False
0,1,0,0,0,0,-2048,True
0,1,0,0,0,0,-3,False
1,8,11,10,0,163652,1960,False
0,1,0,0,0,0,39,False
0,1,0,0,0,0,-2011,False
0,1,0,0,0,0,10,False
0,1,0,0,0,0,2,False
1,8,11,10,0,163652,-59,False
0,1,0,0,0,0,59,True
1,4,11,11,0,64892,2475,False
1,4,11,11,0,64892,533,False
0,1,0,0,0,0,-533,True
0,1,0,0,0,0,-2475,False
1,6,11,0,0,433549,2384,False
0,1,0,0,0,0,-2384,True
1,4,11,11,0,64892,230,False
0,1,0,0,0,0,-230,True
1,10,0,0,0,70128,40,False
1,4,11,11,0,64892,19,False
0,1,0,0,0,0,-19,True
0,1,0,0,0,0,-40,False
0,1,0,0,0,0,-3,False
1,3,11,1,0,40296,-7,False
0,1,0,0,0,0,7,False
1,3,9,3,0,37025,10,False
1,4,11,11,0,64892,1995,False
0,1,0,0,0,0,-1995,True
1,8,11,10,0,163652,2,False
0,1,0,0,0,0,-2,False
1,3,7,7,0,1497,3,False
0,1,0,0,0,0,-3,False
1,8,11,10,0,163652,-42,False
0,1,0,0,0,0,42,False
1,8,11,10,0,163652,3265,False
0,1,0,0,0,0,-3265,False
1,6,11,0,0,433549,3283,False
0,1,0,0,0,0,-3283,True
1,8,11,10,0,163652,-18,False
0,1,0,0,0,0,18,True
1,8,11,10,0,163652,-4,False
0,1,0,0,0,0,-4,True
0,1,0,0,0,0,8,False
1,6,11,0,0,433549,-192,False
0,1,0,0,0,0,70,True
0,1,0,0,0,0,63,False
0,1,0,0,0,0,59,False
1,4,11,11,0,64892,-7,False
0,1,0,0,0,0,7,True
1,8,11,10,0,163652,65,False
0,1,0,0,0,0,-65,True
1,1,10,7,0,14371,-19,False
1,6,11,0,0,433549,-2,False
1,6,11,0,0,433549,22,False
1,3,11,7,0,1094,345,False
1,4,11,11,0,64892,12,False
0,1,0,0,0,0,-12,True
1,4,11,11,0,64892,3292,False
0,1,0,0,0,0,-3292,True
1,1,10,7,0,14371,6,False
1,1,10,7,0,14371,17,False
1,3,9,3,0,37025,1,False
1,3,11,7,0,1094,-3,False
1,2,7,3,0,205347,-5524,False
1,3,11,7,0,1094,96,False
1,4,11,11,0,64892,66,False
0,1,0,0,0,0,-66,True
1,3,14,3,0,10877,1,False
1,3,14,3,0,10877,2,False
1,2,13,1,0,4957,-3,False
1,2,11,10,0,10471,-28,False
1,3,10,1,0,85386,177,False
0,1,0,0,0,0,-177,True
1,8,11,10,0,163652,-6,False
