SemonyZ (sayfa mevcut deðil)|3 gün|7 deðiþikliðe sahip|-4|?
Katkýlar/78.188.4.146|-2|False
Dünya vatandaþý|beyaz liste|14 yýl 1 ay|258,828 deðiþikliðe sahip|12|False
Dünya vatandaþý|beyaz liste|14 yýl 1 ay|258,828 deðiþikliðe sahip|25|False
Dünya vatandaþý|beyaz liste|14 yýl 1 ay|258,828 deðiþikliðe sahip|41|False
Dünya vatandaþý|beyaz liste|14 yýl 1 ay|258,828 deðiþikliðe sahip|171|False
Dünya vatandaþý|beyaz liste|14 yýl 1 ay|258,828 deðiþikliðe sahip|-19|False
Dünya vatandaþý|beyaz liste|14 yýl 1 ay|258,828 deðiþikliðe sahip|-16|False
Dünya vatandaþý|beyaz liste|14 yýl 1 ay|258,828 deðiþikliðe sahip|483|False
Katkýlar/78.188.4.146|4|False
Khutuck Bot|bot|11 yýl 5 ay|611,698 deðiþikliðe sahip|1|False
VolkovBot|bot|13 yýl 4 ay|130,531 deðiþikliðe sahip|22|False
Loveless|bot|13 yýl|27,012 deðiþikliðe sahip|0|False
BotSottile|bot|12 yýl 2 ay|2,188 deðiþikliðe sahip|0|False
SieBot|bot|13 yýl|119,313 deðiþikliðe sahip|23|False
MelancholieBot|bot|12 yýl|31,302 deðiþikliðe sahip|15|False
TXiKiBoT|bot|13 yýl 4 ay|222,021 deðiþikliðe sahip|20|False
Katkýlar/78.188.4.146|0|False
CommonsDelinker|beyaz liste|bot|13 yýl 8 ay|43,560 deðiþikliðe sahip|12|False
Mach|13 yýl 7 ay|55,706 deðiþikliðe sahip|19|False
Katkýlar/88.232.92.21|-4|False
Sporsever|engellenmiþ|12 yýl 2 ay|482 deðiþikliðe sahip|1|False
Katkýlar/88.232.244.79|-2|False
Kibele|devriye|14 yýl|122,286 deðiþikliðe sahip|-4|False
Kibele|devriye|14 yýl|122,286 deðiþikliðe sahip|-15|False
Kibele|devriye|14 yýl|122,286 deðiþikliðe sahip|-4|False
Kibele|devriye|14 yýl|122,286 deðiþikliðe sahip|-7|False
Kibele|devriye|14 yýl|122,286 deðiþikliðe sahip|-19|False
Noctiluca|13 yýl 3 ay|6,039 deðiþikliðe sahip|238|False
Loveless|bot|13 yýl|27,012 deðiþikliðe sahip|0|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|-21|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|-4|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|36|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|6|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|0|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|77|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|17|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|4572|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|0|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|5556|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|4706|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|3919|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|0|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|0|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|2434|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|-4|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|-2|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|393|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|3003|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|0|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|-2|False
Mskyrider|bürokrat|hizmetli|13 yýl 11 ay|37,355 deðiþikliðe sahip|68|False
